Price History: NYGOLDS-FDS,,,,
,,,,
Date,Price,Change,% Change,Cumulative Change %
02/19/21,"1,784.60",,,
02/22/21,"1,810.50",25.90,1.45,1.45
02/23/21,"1,806.50",-4.00,-0.22,1.23
02/24/21,"1,804.80",-1.70,-0.09,1.13
02/25/21,"1,770.10",-34.70,-1.92,-0.81
02/26/21,"1,735.60",-34.50,-1.95,-2.75
03/01/21,"1,724.80",-10.80,-0.62,-3.35
03/02/21,"1,738.30",13.50,0.78,-2.59
03/03/21,"1,710.70",-27.60,-1.59,-4.14
03/04/21,"1,696.90",-13.80,-0.81,-4.91
03/05/21,"1,700.10",3.20,0.19,-4.73
03/08/21,"1,682.90",-17.20,-1.01,-5.70
03/09/21,"1,716.40",33.50,1.99,-3.82
03/10/21,"1,726.90",10.50,0.61,-3.23
03/11/21,"1,723.10",-3.80,-0.22,-3.45
03/12/21,"1,727.90",4.80,0.28,-3.18
03/15/21,"1,731.00",3.10,0.18,-3.00
03/16/21,"1,731.30",0.30,0.02,-2.99
03/17/21,"1,745.50",14.20,0.82,-2.19
03/18/21,"1,736.50",-9.00,-0.52,-2.70
03/19/21,"1,744.90",8.40,0.48,-2.22
03/22/21,"1,739.30",-5.60,-0.32,-2.54
03/23/21,"1,727.40",-11.90,-0.68,-3.21
03/24/21,"1,734.30",6.90,0.40,-2.82
03/25/21,"1,726.70",-7.60,-0.44,-3.24
03/26/21,"1,733.30",6.60,0.38,-2.87
03/29/21,"1,711.70",-21.60,-1.25,-4.08
03/30/21,"1,686.00",-25.70,-1.50,-5.53
03/31/21,"1,708.80",22.80,1.35,-4.25
04/01/21,"1,730.30",21.50,1.26,-3.04
04/05/21,"1,728.50",-1.80,-0.10,-3.14
04/06/21,"1,743.60",15.10,0.87,-2.30
04/07/21,"1,737.60",-6.00,-0.34,-2.63
04/08/21,"1,755.80",18.20,1.05,-1.61
04/09/21,"1,744.20",-11.60,-0.66,-2.26
04/12/21,"1,732.70",-11.50,-0.66,-2.91
04/13/21,"1,745.80",13.10,0.76,-2.17
04/14/21,"1,736.40",-9.40,-0.54,-2.70
04/15/21,"1,763.60",27.20,1.57,-1.18
04/16/21,"1,776.50",12.90,0.73,-0.45
04/19/21,"1,771.00",-5.50,-0.31,-0.76
04/20/21,"1,778.80",7.80,0.44,-0.33
04/21/21,"1,793.60",14.80,0.83,0.50
04/22/21,"1,783.90",-9.70,-0.54,-0.04
04/23/21,"1,776.90",-7.00,-0.39,-0.43
04/26/21,"1,781.00",4.10,0.23,-0.20
04/27/21,"1,775.80",-5.20,-0.29,-0.49
04/28/21,"1,781.50",5.70,0.32,-0.17
04/29/21,"1,772.00",-9.50,-0.53,-0.71
04/30/21,"1,769.10",-2.90,-0.16,-0.87
05/03/21,"1,792.90",23.80,1.35,0.47
05/04/21,"1,779.00",-13.90,-0.78,-0.31
05/05/21,"1,786.60",7.60,0.43,0.11
05/06/21,"1,814.70",28.10,1.57,1.69
05/07/21,"1,830.70",16.00,0.88,2.58
05/10/21,"1,836.00",5.30,0.29,2.88
05/11/21,"1,837.90",1.90,0.10,2.99
05/12/21,"1,815.40",-22.50,-1.22,1.73
05/13/21,"1,826.50",11.10,0.61,2.35
05/14/21,"1,843.90",17.40,0.95,3.32
05/17/21,"1,866.40",22.50,1.22,4.58
05/18/21,"1,869.10",2.70,0.14,4.73
05/19/21,"1,869.30",0.20,0.01,4.75
05/20/21,"1,876.60",7.30,0.39,5.16
05/21/21,"1,880.70",4.10,0.22,5.38
05/24/21,"1,880.50",-0.20,-0.01,5.37
05/25/21,"1,898.80",18.30,0.97,6.40
05/26/21,"1,896.80",-2.00,-0.11,6.29
05/27/21,"1,895.90",-0.90,-0.05,6.24
05/28/21,"1,903.50",7.60,0.40,6.66
06/01/21,"1,899.50",-4.00,-0.21,6.44
