Price History: SLVR-FDS,,,,
,,,,
Date,Price,Change,% Change,Cumulative Change %
02/19/21,26.95,,,
02/22/21,27.45,0.50,1.84,1.84
02/23/21,27.97,0.52,1.89,3.77
02/24/21,27.75,-0.22,-0.79,2.95
02/25/21,27.93,0.18,0.65,3.62
02/26/21,26.69,-1.24,-4.44,-0.98
03/01/21,26.89,0.21,0.77,-0.22
03/02/21,26.26,-0.63,-2.34,-2.56
03/03/21,26.59,0.32,1.24,-1.35
03/04/21,25.96,-0.63,-2.37,-3.69
03/05/21,25.36,-0.60,-2.31,-5.92
03/08/21,25.16,-0.20,-0.79,-6.66
03/09/21,25.76,0.60,2.39,-4.43
03/10/21,25.65,-0.11,-0.43,-4.84
03/11/21,26.25,0.61,2.36,-2.60
03/12/21,25.48,-0.77,-2.95,-5.47
03/15/21,26.10,0.63,2.45,-3.15
03/16/21,26.08,-0.02,-0.08,-3.23
03/17/21,25.85,-0.23,-0.88,-4.08
03/18/21,26.13,0.28,1.08,-3.04
03/19/21,26.18,0.05,0.17,-2.88
03/22/21,25.74,-0.44,-1.66,-4.49
03/23/21,25.62,-0.12,-0.47,-4.94
03/24/21,25.20,-0.43,-1.66,-6.51
03/25/21,24.67,-0.52,-2.08,-8.46
03/26/21,25.06,0.38,1.56,-7.03
03/29/21,24.83,-0.23,-0.90,-7.87
03/30/21,24.34,-0.49,-1.97,-9.68
03/31/21,24.00,-0.34,-1.40,-10.95
04/01/21,24.32,0.32,1.31,-9.78
04/05/21,24.32,,,-9.78
04/06/21,25.04,0.72,2.98,-7.09
04/07/21,24.99,-0.05,-0.22,-7.29
04/08/21,25.33,0.34,1.38,-6.01
04/09/21,25.23,-0.10,-0.41,-6.40
04/12/21,25.16,-0.07,-0.26,-6.64
04/13/21,24.95,-0.21,-0.83,-7.42
04/14/21,25.33,0.38,1.52,-6.01
04/15/21,25.59,0.26,1.01,-5.06
04/16/21,26.14,0.55,2.17,-3.01
04/19/21,26.11,-0.04,-0.13,-3.14
04/20/21,25.88,-0.23,-0.86,-3.97
04/21/21,25.91,0.03,0.12,-3.86
04/22/21,26.30,0.39,1.51,-2.41
04/23/21,26.13,-0.18,-0.67,-3.06
04/26/21,26.11,-0.02,-0.06,-3.12
04/27/21,26.29,0.18,0.67,-2.47
04/28/21,25.87,-0.41,-1.58,-4.01
04/29/21,26.29,0.41,1.60,-2.47
04/30/21,25.88,-0.41,-1.56,-3.99
05/03/21,25.88,,,-3.99
05/04/21,26.83,0.95,3.67,-0.46
05/05/21,26.30,-0.53,-1.98,-2.43
05/06/21,26.73,0.43,1.64,-0.83
05/07/21,27.38,0.65,2.43,1.58
05/10/21,27.74,0.36,1.32,2.91
05/11/21,27.48,-0.25,-0.92,1.97
05/12/21,27.41,-0.07,-0.25,1.71
05/13/21,26.82,-0.59,-2.15,-0.48
05/14/21,27.23,0.41,1.53,1.04
05/17/21,27.61,0.38,1.40,2.45
05/18/21,28.48,0.87,3.13,5.66
05/19/21,27.68,-0.80,-2.81,2.69
05/20/21,27.74,0.06,0.23,2.93
